ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Num_Distinct_Arrest_Crime_Types,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Num_Distinct_Conviction_Crime_Types,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Violations_Instruction,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,Num_Drugs_Used,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Training_Sample
68,0,0,3,0,7.0,1,3,3,2,7,1,0,6,1,0,0,0,1,1,0,2,0,0,3,89.77777778,0,1.0,1.808168317,0,0,0,0
69,0,0,4,0,5.0,2,2,3,1,6,0,0,6,1,0,0,1,0,0,0,0,0,0,1,55.424812,0,0.0,0.0,1,0,0,1
70,0,0,4,0,6.0,2,3,2,4,6,0,0,5,1,0,0,0,0,0,1,4,10,3,3,232.57728486125,1,0.186412593,0.453914664,0,0,0,1
71,1,1,7,1,3.0,1,0,1,2,6,0,0,5,1,0,0,0,1,1,0,0,0,0,3,78.28571429,0,0.708029197,0.999771898,0,1,0,1
72,0,1,5,0,5.0,2,2,2,1,7,0,1,6,1,0,1,1,1,1,0,0,0,0,0,41.0,0,1.0,1.0,0,0,0,1
73,0,1,4,0,8.0,1,0,4,3,7,0,1,5,1,0,0,1,0,0,1,4,10,0,1,68.66666667,0,0.964805825,0.221632282,0,0,0,0
74,0,0,4,0,10.0,1,3,1,2,6,0,0,4,0,0,0,0,1,1,0,0,0,0,0,120.6,0,0.0,0.0,1,0,0,1
75,0,1,5,0,7.0,2,3,1,1,7,0,1,7,1,0,1,0,1,0,0,0,1,3,0,70.5,1,0.943262411,1.0,0,1,1,1
76,0,0,6,0,5.0,2,0,3,4,8,1,1,7,1,0,1,0,1,0,0,0,0,0,0,232.57728486125,0,0.0,0.0,0,1,1,1
77,0,1,6,0,10.0,3,3,1,4,6,0,0,4,0,0,0,0,0,0,0,0,6,0,1,34.15789474,2,0.25577812,0.562788906,0,0,0,1
78,1,1,6,1,9.0,2,2,1,2,6,0,0,4,0,0,0,0,1,1,0,2,10,0,0,95.75,0,0.381201044,0.953655352,0,1,0,1
79,0,0,4,0,9.0,1,1,1,4,6,0,0,5,1,0,0,0,1,0,0,3,10,3,0,55.54545455,1,0.605564648,0.597790507,0,0,0,1
80,0,0,4,0,5.0,2,2,1,2,6,0,0,5,1,0,0,0,1,1,0,0,1,0,1,33.47368421,0,0.878930818,0.574292453,0,0,0,1
81,0,0,4,0,5.0,2,0,2,2,7,1,0,7,1,1,0,1,1,0,0,0,0,0,2,32.2,0,0.01242236,1.0,0,1,1,0
82,0,0,4,0,1.0,2,1,1,3,6,0,0,5,1,0,0,0,1,1,0,0,0,3,0,232.57728486125,1,0.0,0.0,0,1,1,1
83,0,1,7,0,10.0,3,3,1,2,6,0,0,5,1,0,0,0,1,0,0,4,0,0,0,55.424812,0,1.0,1.0,0,1,1,0
84,0,0,5,0,7.0,2,0,3,3,7,0,1,6,1,0,0,0,1,0,0,0,4,0,1,69.3,0,0.227994228,0.527056277,0,0,0,1
85,1,0,4,1,1.0,1,3,1,1,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,1,1,1
86,0,1,6,0,6.0,2,0,3,2,6,0,0,5,1,0,0,0,1,1,0,0,10,0,0,37.25,0,1.0,1.634228188,0,1,0,1
87,0,1,3,0,5.0,2,0,3,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,2,132.3333333,0,1.0,0.920025189,0,0,0,0
88,1,0,4,1,7.0,2,2,2,4,6,0,0,6,1,0,0,0,1,0,0,0,0,0,2,185.5,0,0.859838275,0.984501348,0,1,0,1
89,0,0,4,0,6.0,2,1,3,2,7,1,0,5,1,0,0,0,1,1,0,0,0,0,0,232.57728486125,0,0.071763917,0.244969819,0,1,0,0
90,0,0,6,0,1.0,2,3,3,2,7,0,1,6,1,0,1,0,1,1,0,0,6,3,0,33.04545455,1,0.894085282,1.004814305,0,0,0,1
91,0,1,4,0,9.0,2,1,1,2,6,0,0,4,0,0,0,1,1,1,0,0,6,0,1,33.15,0,0.876319759,0.550904977,0,0,0,1
92,0,0,5,0,5.0,1,2,3,1,7,0,1,7,1,0,1,1,1,0,0,0,0,0,1,25.6,0,0.2890625,0.951171875,0,1,0,1
93,0,1,4,0,4.0,2,2,4,1,7,0,1,5,0,0,1,1,1,0,0,0,10,0,0,34.2,1,0.651072125,1.423976608,0,1,0,1
94,0,1,3,0,6.0,2,0,1,1,7,0,1,5,1,0,0,0,1,0,0,0,0,0,0,7.857142857,0,1.0,1.0,0,1,1,1
95,0,0,4,0,6.0,1,0,2,2,6,0,0,5,0,0,0,0,1,1,0,0,6,0,1,45.85714286,1,1.0,0.568925234,0,1,0,1
96,0,1,6,0,10.0,2,0,1,2,7,1,0,5,1,0,0,0,1,1,0,0,6,0,2,137.2222222,0,0.153036437,0.295748988,0,1,1,1
97,1,1,3,0,10.0,1,1,1,3,6,0,0,5,1,0,0,1,1,1,0,4,10,0,0,30.6,3,0.173202614,2.0,0,0,0,1
98,0,1,4,0,8.0,2,0,4,2,7,0,1,6,1,0,1,0,1,0,0,0,6,0,0,40.25,0,1.0,3.0,0,1,1,0
99,0,1,7,0,6.0,2,3,1,3,6,0,0,5,1,0,0,0,0,1,0,0,0,0,0,55.424812,0,0.0,0.0,0,0,0,1
100,0,1,7,0,6.0,2,1,3,4,7,0,1,5,1,0,0,0,1,0,0,3,5,0,1,43.57142857,0,0.0,0.0,0,0,0,1
101,1,0,4,1,5.0,3,0,1,1,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,38.4,0,1.0,0.951171875,0,0,0,1
102,0,1,7,0,3.0,2,2,3,1,6,0,0,4,0,0,0,0,1,0,0,0,6,0,1,23.73333333,0,1.0,1.0,0,1,0,0
103,0,1,5,0,4.0,1,3,5,1,7,1,0,6,1,0,0,0,1,0,0,0,0,0,1,55.424812,0,0.0,0.0,0,1,0,0
104,0,0,4,0,8.0,2,2,2,3,6,0,0,6,1,0,0,0,0,1,1,0,0,0,1,164.2,1,0.974421437,0.444884287,0,0,0,1
105,1,0,6,1,6.0,1,3,1,1,6,0,0,5,0,0,0,1,1,0,0,0,0,0,1,23.0,1,0.673913043,1.0,1,1,0,0
106,0,1,6,0,2.0,2,3,1,1,6,0,0,5,1,0,0,1,0,0,0,0,0,0,1,95.33333333,0,1.0,1.0,0,1,0,0
107,1,1,5,0,8.0,1,0,3,1,6,0,0,5,1,0,0,0,1,0,0,2,4,2,1,24.73333333,0,0.0,0.0,0,0,0,0
108,0,0,7,0,4.0,2,3,5,2,6,0,0,6,0,1,0,0,1,1,0,0,0,0,1,117.0,0,0.0,0.0,0,0,0,1
109,1,1,6,1,10.0,1,1,1,3,6,0,0,5,1,0,0,0,0,0,0,0,2,0,1,142.4285714,1,0.459378134,0.366349047,1,1,0,1
110,0,0,7,0,4.0,1,0,2,4,6,0,0,6,1,0,0,1,0,1,0,0,0,0,1,66.8,0,0.395209581,1.0,0,1,1,1
111,0,1,4,0,6.0,2,1,2,2,6,0,0,6,1,0,0,0,1,1,0,0,0,0,3,64.2,1,0.473520249,0.379283489,0,1,0,1
112,0,0,5,0,10.0,3,0,1,2,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,1,0,1
113,0,1,4,1,10.0,1,3,1,2,6,0,0,5,1,0,0,0,1,1,0,4,2,3,3,36.75,2,0.0,0.0,0,1,1,1
114,0,0,6,0,3.0,2,1,3,3,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,115.375,0,0.275189599,0.791440953,0,0,0,1
115,0,1,5,1,8.0,1,0,1,1,6,0,0,6,1,0,0,1,1,1,1,4,0,0,2,55.424812,0,0.0,0.0,0,1,0,1
116,0,1,7,0,8.0,1,3,1,1,7,1,0,5,1,0,0,0,1,0,0,0,10,0,2,19.66666667,0,1.0,2.0,0,0,0,1
117,0,0,7,0,4.0,2,3,1,3,8,1,1,5,0,0,0,0,1,1,0,0,0,0,2,121.75,0,0.159137577,0.375,1,1,1,1
118,0,1,7,0,2.0,1,3,3,2,7,0,1,8,1,1,1,0,1,1,0,0,4,0,1,50.73333333,1,0.484888305,0.239980289,0,1,0,0
119,0,0,7,0,1.0,1,0,3,1,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,55.424812,0,0.318376068,0.780448718,1,0,0,1
120,0,1,7,0,3.0,2,1,3,1,7,1,0,6,1,0,0,0,0,0,0,1,0,0,1,10.1,0,0.811881188,2.0,0,1,1,0
121,0,0,5,0,6.0,3,3,2,3,8,1,1,5,0,0,0,0,0,0,0,0,0,1,1,14.375,0,0.617391304,1.0,0,0,0,1
122,0,0,4,0,5.0,2,3,3,2,6,0,0,5,1,0,0,0,0,1,0,0,0,0,0,55.424812,0,0.815384615,0.624358974,0,0,0,1
123,0,0,3,0,9.0,1,3,2,3,8,1,1,6,1,1,0,1,1,1,1,0,0,0,1,74.83333333,0,0.665924276,1.626948775,0,1,0,0
124,0,1,4,0,10.0,2,0,4,3,7,0,1,8,1,1,1,0,1,1,1,0,0,0,3,55.57894737,1,1.0,1.383522727,1,1,0,1
125,0,1,7,0,6.0,2,2,1,3,6,0,0,6,1,0,0,0,1,1,0,4,0,0,1,55.424812,0,0.0,0.0,0,0,0,1
126,0,1,4,1,10.0,2,3,1,3,6,0,0,5,1,0,0,1,1,0,1,0,7,3,3,47.93333333,1,0.970792768,0.507997218,0,1,0,1
127,1,1,5,0,6.0,3,3,3,2,6,0,0,5,1,0,0,0,1,0,0,0,9,0,0,48.55555556,0,1.0,1.671624714,0,0,0,1
128,0,1,7,0,5.0,2,1,1,4,7,1,0,6,0,1,0,0,0,0,0,4,5,0,2,37.32142857,2,0.411483254,0.699043062,0,1,0,1
129,0,1,4,0,6.0,2,3,1,1,6,0,0,5,1,0,0,0,1,0,0,2,6,3,3,80.6,1,0.109181141,0.906327543,0,1,1,1
130,0,1,4,0,6.0,2,2,4,3,6,0,0,5,1,0,0,0,1,1,0,0,5,1,1,10.4,0,1.0,2.0,0,1,1,1
131,1,0,6,1,8.0,1,2,2,2,6,0,0,5,0,0,0,0,1,0,0,0,4,0,0,40.0,0,0.0,0.0,0,1,0,1
132,0,1,4,1,4.0,1,3,3,1,6,0,0,5,1,0,0,0,1,0,1,3,1,0,0,55.424812,0,0.0,0.0,0,1,1,0
133,1,1,7,1,10.0,3,0,1,2,7,0,1,5,1,0,0,0,1,0,0,0,10,0,1,81.60869565,0,0.457112413,0.389184869,1,1,0,1
134,1,0,4,1,8.0,1,3,1,2,6,0,0,5,1,0,0,0,1,1,0,0,10,2,3,19.76,1,0.74291498,0.73937247,1,0,0,1
135,1,1,5,1,10.0,2,0,3,4,6,0,0,5,1,0,0,0,1,1,0,0,3,0,1,123.0555556,0,0.296613995,0.16489842,0,1,0,1
136,0,1,5,0,6.0,2,0,2,4,7,0,1,5,1,0,0,0,0,0,0,0,10,0,3,9.752212389,0,1.0,2.320099819,0,0,0,0
137,0,1,4,0,5.0,1,3,1,1,7,1,0,5,1,0,0,0,1,1,0,0,0,0,0,55.424812,0,1.0,2.0,0,1,1,1
138,0,1,4,0,4.0,2,2,3,1,7,0,1,5,1,0,0,0,1,0,0,0,0,0,3,55.424812,0,1.0,0.976604278,0,1,0,0
139,0,1,4,0,8.0,2,0,4,4,6,0,0,6,1,0,1,0,1,1,1,2,0,0,0,13.6,0,1.0,2.0,0,1,1,1
140,0,1,5,0,10.0,1,0,1,1,6,0,0,5,1,0,0,0,0,1,1,3,0,3,0,68.875,2,0.0,0.0,0,0,0,0
141,1,1,6,0,9.0,2,3,3,3,6,0,0,5,1,0,0,0,1,0,0,2,10,3,3,3.152317881,3,1.0,0.767331933,0,0,0,1
142,0,0,4,0,4.0,2,3,3,1,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,0,0,1
143,0,0,7,0,6.0,2,0,2,2,7,1,0,5,1,0,0,0,0,0,0,0,10,3,0,55.424812,0,0.0,0.0,1,1,1,1
144,0,0,7,0,4.0,1,0,1,3,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,232.57728486125,0,1.0,0.952411995,0,0,0,1
145,0,1,6,0,5.0,3,1,2,4,8,1,1,5,0,0,0,0,0,0,0,0,7,0,0,45.08333333,0,0.924214418,1.350277264,0,1,0,1
146,0,1,5,0,8.0,2,0,1,1,6,0,0,5,1,0,0,1,1,1,0,0,0,0,0,55.424812,0,1.0,2.0,0,0,0,1
147,0,1,4,0,3.0,3,3,3,1,6,0,0,4,0,0,0,0,1,0,0,2,6,0,0,10.48148148,1,1.0,2.0,0,1,0,0
148,1,1,5,1,3.0,2,0,1,1,6,0,0,4,0,0,0,1,1,0,0,0,0,0,1,13.3902439,0,0.0,0.0,1,1,0,1
149,0,0,3,0,7.0,2,1,1,4,7,0,1,6,1,0,1,0,0,0,0,0,7,1,2,75.90909091,0,1.0,1.749700599,0,0,0,1
150,0,1,3,0,6.0,1,3,5,4,7,0,1,5,1,0,0,0,1,0,0,4,7,3,3,35.75,0,0.713286713,1.0,0,1,1,0
151,0,0,4,1,5.0,1,1,2,4,6,0,0,5,0,0,0,0,1,1,1,4,4,0,0,55.424812,1,0.0,0.0,0,0,0,1
152,0,0,4,0,4.0,2,0,3,4,7,0,1,4,0,0,0,0,1,0,0,0,10,1,0,55.424812,1,0.60589208,2.37871809,0,0,0,1
153,0,0,7,0,2.0,1,0,1,4,6,0,0,5,0,0,0,0,1,1,0,3,0,0,0,17.3,1,0.329479769,1.0,0,0,0,1
154,0,1,7,0,6.0,2,3,1,3,7,1,0,7,1,1,0,0,1,1,0,0,1,0,2,231.0,1,0.0,0.0,0,1,1,0
155,0,0,5,1,5.0,2,3,4,1,8,1,1,7,1,0,1,0,0,1,1,0,10,3,0,70.2,2,0.555555556,2.0,0,1,0,1
156,0,1,4,0,5.0,2,3,3,1,7,0,1,8,1,1,1,0,1,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,0,0,1
157,0,1,7,0,7.0,1,3,1,2,6,0,0,6,1,0,0,0,0,0,0,0,0,0,1,232.57728486125,0,0.995941558,0.296469156,0,0,0,0
158,0,0,7,0,3.0,2,3,1,3,6,0,0,6,1,0,0,0,1,1,1,1,10,1,0,208.75,0,1.0,1.312275449,0,1,0,1
159,0,0,4,1,8.0,1,1,2,4,8,1,1,7,1,0,1,0,1,1,0,0,10,0,0,34.37931034,1,0.037111334,0.366349047,0,1,0,0
160,0,1,5,1,2.0,2,2,1,1,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,55.424812,0,0.0,0.0,0,1,1,0
161,0,0,6,0,6.0,2,0,3,2,6,0,0,7,1,0,1,0,1,1,0,0,0,0,0,170.75,0,0.0,0.0,0,1,1,1
162,0,0,6,0,2.0,3,3,3,1,7,0,1,5,0,0,0,0,1,0,0,0,1,0,0,7.375,0,0.406779661,1.0,0,0,0,1
163,0,0,7,0,10.0,3,1,1,4,6,0,0,5,1,0,0,0,1,0,0,0,10,3,0,7.4,1,0.384384384,3.0,1,1,1,1
164,1,1,4,1,3.0,3,2,1,1,6,0,0,5,1,0,0,0,1,0,1,4,10,0,0,17.86363636,1,0.544529262,1.858778626,0,1,0,1
165,0,0,3,1,10.0,2,0,1,2,7,0,1,4,0,0,0,0,0,0,1,2,2,3,1,36.33333333,1,0.180428135,2.0,0,1,0,0
166,0,1,6,0,6.0,2,2,2,2,7,0,1,6,1,0,1,1,1,1,0,4,1,0,0,119.0,2,0.0,0.0,0,1,0,1
167,0,0,4,1,6.0,2,3,4,2,7,0,1,7,1,1,0,0,0,0,1,4,6,2,1,141.1666667,0,0.309327037,0.431227863,0,1,0,0
168,0,0,7,0,2.0,2,2,4,1,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,47.7,0,0.0,0.0,0,1,0,1
169,0,1,3,0,5.0,2,0,1,1,6,0,0,6,1,0,0,0,0,0,0,0,7,0,0,35.46153846,2,0.472885033,0.792299349,0,1,1,0
170,0,1,7,0,8.0,1,0,2,4,7,0,1,6,1,0,0,0,0,0,1,0,1,0,3,15.22222222,0,0.839416058,1.777372263,0,1,0,1
171,0,1,5,0,5.0,2,3,3,1,8,1,1,8,1,1,1,0,0,0,0,0,0,0,1,62.14285714,0,1.0,3.35862069,0,1,0,0
